po_number,equipment_tag,spec_section,vendor,item_description,value_inr,order_date,lead_time_weeks,delivery_status
PO-271500-01,EQ-271500-01,27 15 00,OmniLink,OmniLink Cat6A Copper Cable,2400000,2026-03-01,6,ORDERED
PO-271500-02,EQ-271500-02,27 15 00,OmniLink,OmniLink OM4 Fiber Assembly,3200000,2026-03-01,8,ORDERED
PO-271500-03,EQ-271500-03,27 15 00,PrecisionRack,PrecisionRack Patch Panel Cat6A,1200000,2026-03-01,4,ORDERED
PO-271500-04,EQ-271500-04,27 15 00,PrecisionRack,PrecisionRack Fiber Enclosure,1500000,2026-03-01,6,ORDERED
PO-271500-05,EQ-271500-05,27 15 00,SecureEntry,SecureEntry Structured Cabling Kit,2100000,2026-03-01,8,ORDERED
PO-281000-01,EQ-281000-01,28 10 00,SecureEntry,SecureEntry SE-7000 Controller,2800000,2026-03-01,12,ORDERED
PO-281000-02,EQ-281000-02,28 10 00,SecureEntry,SecureEntry Biometric Reader Bio-400,1200000,2026-03-01,8,ORDERED
PO-281000-03,EQ-281000-03,28 10 00,OmniLink,OmniLink Door Controller DC-200,950000,2026-03-01,6,ORDERED
PO-281000-04,EQ-281000-04,28 10 00,VisionPro,VisionPro Prox Card Reader,450000,2026-03-01,4,ORDERED
PO-282300-01,EQ-282300-01,28 23 00,VisionPro,VisionPro VP-4MP Camera,2800000,2026-03-01,10,ORDERED
PO-282300-02,EQ-282300-02,28 23 00,VisionPro,VisionPro VP-8MP Camera,3500000,2026-03-01,12,ORDERED
PO-282300-03,EQ-282300-03,28 23 00,VisionPro,VisionPro NVR-48 Server,4500000,2026-03-01,14,ORDERED
PO-282300-04,EQ-282300-04,28 23 00,OmniLink,OmniLink Video Analytics Suite,1800000,2026-03-01,6,ORDERED
PO-115300-01,EQ-115300-01,11 53 00,PrecisionRack,PrecisionRack PR-42U Server Rack,850000,2026-03-01,6,ORDERED
PO-115300-02,EQ-115300-02,11 53 00,PrecisionRack,PrecisionRack PR-48U Server Rack,950000,2026-03-01,6,ORDERED
PO-115300-03,EQ-115300-03,11 53 00,PrecisionRack,PrecisionRack Hot Aisle Kit,1200000,2026-03-01,8,ORDERED
PO-115300-04,EQ-115300-04,11 53 00,CryoCore,CryoCore Cold Aisle Containment,1100000,2026-03-01,10,ORDERED
PO-115300-05,EQ-115300-05,11 53 00,CryoCore,CryoCore Overhead Tray System,650000,2026-03-01,6,ORDERED
